"Priority","Group","Name"
"000000015","ACTIVATION","Backup Crew Ingress"
"000000020","ACTIVATION","Activation"
"000000040","BACKUP CREW PRELAUNCH","INTRODUCTION"
"000000041","BACKUP CREW PRELAUNCH","C&WS STATUS CHECK"
"000000042","BACKUP CREW PRELAUNCH","EMS PRELAUNCH TESTS"
"000000043","BACKUP CREW PRELAUNCH","GLYCOL LOOP CHECKS"
"000000044","BACKUP CREW PRELAUNCH","STANDBY INVERTER (NO. 3)"
"000000045","BACKUP CREW PRELAUNCH","FC RADIATOR & FLOAT BAG"
"000000047","BACKUP CREW PRELAUNCH","LHEB ECS VALVES"
"000000048","BACKUP CREW PRELAUNCH","LEB & TIMER PANEL 306"
"000000048","BACKUP CREW PRELAUNCH","RHEB & PANEL 601"
"000000049","BACKUP CREW PRELAUNCH","ORDEAL SWITCH POSITION"
"000000050","BACKUP CREW PRELAUNCH","LH COUCH CHECKS"
"000000051","BACKUP CREW PRELAUNCH","RH COUCH CHECKS"
"000000052","BACKUP CREW PRELAUNCH","COMMUNICATIONS CHECK"
"000000053","BACKUP CREW PRELAUNCH","VERIFY COUCH CONFIGURATION"
"000000054","BACKUP CREW PRELAUNCH","PRIME CREW PRE-INGRESS PROCEDURE"
"000000070","PRE-LAUNCH","INGRESS & STATUS CHECKS"
"000000071","PRE-LAUNCH","FINAL VERIFICATION"
"000000102","PRE-LAUNCH","LAUNCH PREPARATIONS"
"000000201","ASCENT","BOOST"
"000000301","INSERTION","STATUS CHECK"
"000000302","INSERTION","ECS POST INSERTION"
"000000303","INSERTION","SYSTEMS CHECK"
"000000304","INSERTION","CABIN ATMOSPHERE"
"000000310","INSERTION","SECS & PYRO ARM"
"000000401","TRANS-LUNAR INJECTION","TLI (Concatenated)"
"000000410","TRANS-LUNAR INJECTION","Thrusting Preparation"
"000000420","TRANS-LUNAR INJECTION","TLI Thrusting"
"000000430","TRANS-LUNAR INJECTION","Post-TLI Activities"
"000000601","T&D","PRE CSM SEPARATION"
"000000602","T&D","CSM SEPARATION PREP"
"000000603","T&D","CSM SEPARATION"
"000000604","T&D","CSM TRANSPOSITION"
"000000605","T&D","DOCKING"
"000000606","T&D","POST DOCKING"
"000000701","LM INTERFACE & EVA","CSM Active Docking WIth LM"
"000000710","LM INTERFACE & EVA","LM Active Docking With CSM"
"000000801","EARTH ENTRY","EARTH ORBIT ENTRY VEHICLE"
"000000802","EARTH ENTRY","SPS DEORBIT & ENTRY"
"000000803","EARTH ENTRY","EARTH LANDING"
"000000804","EARTH ENTRY","EARTH POST-LANDING"
"000000850","LUNAR ENTRY","LUNAR RETURN VEHICLE PREP"
"000000860","LUNAR ENTRY","EARTH LANDING PHASE"
"000000870","LUNAR ENTRY","EARTH POSTLANDING"
"000001001","SYSTEM CHECKS","SM RCS MONITORING"
"000001002","SYSTEM CHECKS","CnWs OPS TEST"
